PC1,PC2,Category,Category_ID
16.25501333835052,-5.112062276877099,PC・スマートフォン,1
6.394759006847108,-10.135701595308891,家電,2
11.411120707146766,6.463281000197207,本・雑誌,3
-3.9370937125574956,7.657950418366878,お菓子・食品,4
-2.5554872031637665,-7.351200127749927,スポーツ用品,5
-9.460450012918743,-8.67455597714375,ペット用品,6
-10.436891086673672,5.735399168851406,ファッション,7
-6.458837965949955,-7.5600737654912855,美容・健康,8
-0.6267344168019713,2.5517988769178714,インテリア・家具,9
8.032253985256897,7.114326673429195,ゲーム・エンタメ,10
-4.377628769872471,11.470976753247363,ギフト券,11
-4.240023869663225,-2.1601391484389785,その他,12
